County code,Country
100,Japan
101,Unknown
102,Unknown
103,Republic of Korea
104,North Korea
105,People's Republic of China
106,Taiwan
107,Mongolia
108,Hong Kong
110,Viet Nam
111,Thailand
112,Singapore
113,Malaysia
116,Brunei
117,Philippines
118,Indonesia
120,Cambodia
121,Laos
122,Myanmar
123,India
124,Pakistan
125,Sri Lanka
126,Maldives
127,Bangladesh
128,Timor-Leste
129,Macao
130,Afghanistan
131,Nepal
132,Bhutan
133,Iran
134,Iraq
135,Bahrain
137,Saudi Arabia
138,Kuwait
140,Qatar
141,Oman
143,Israel
144,Jordan
145,Syria
146,Lebanon
147,United Arab Emirates
149,Yemen
150,Azerbaijan
151,Armenia
152,Uzbekistan
153,Kazakhstan
154,Kyrgyz
155,Tajikistan
156,Turkmenistan
157,Georgia
158,The West Bank and Gaza Strip
201,Iceland
202,Norway
203,Sweden
204,Denmark
205,United Kingdom
206,Ireland
207,Netherlands
208,Belgium
209,Luxembourg
210,France
211,Monaco
212,Andorra
213,Germany
215,Switzerland
216,Azores (Portugal)
217,Portugal
218,Spain
219,Gibraltar (UK)
220,Italy
221,Malta
222,Finland
223,Poland
224,Russia
225,Austria
227,Hungary
228,Serbia
229,Albania
230,Greece
231,Romania
232,Bulgaria
233,Cyprus
234,Turkey
235,Estonia
236,Latvia
237,Lithuania
238,Ukraine
239,Belarus
240,Moldova
241,Croatia
242,Slovenia
243,Bosnia and Herzegovina
244,North Macedonia
245,Czech Republic
246,Slovakia
247,Montenegro
248,Kosovo
249,Faroe Islands (Denmark)
250,Vatican City
301,Greenland (Denmark)
302,Canada
303,St.Pierre and Miquelon (France)
304,United States of America
305,Mexico
306,Guatemala
307,Honduras
308,Belize
309,El Salvador
310,Nicaragua
311,Costa Rica
312,Panama
314,Bermuda (UK)
315,The Bahamas
316,Jamaica
317,"Turks, and Caicos Islands (UK)"
319,Barbados
320,Trinidad and Tobago
321,Cuba
322,Haiti
323,Dominican Republic
324,Puerto Rico (USA)
325,US Virgin Islands
326,Netherlands Antilles
327,French West Indies
328,Cayman islands (UK)
329,Grenada
330,St.Lucia
331,Antigua and Barbuda
332,British Virgin Islands
333,Dominica
334,Monstserrat (UK)
335,St.Christopher and Nevis
336,St.Vincent
337,British Anguilla
338,St.Barthelemy (France)
401,Colombia
402,Venezuela
403,Guyana
404,Suriname
405,French Guiana
406,Ecuador
407,Peru
408,Bolivia
409,Chile
410,Brazil
411,Paraguay
412,Uruguay
413,Argentina
414,Falkland Islands and Dependencies (UK)
415,British Antarctic Territory
501,Morocco
502,Ceuta and Melilla (Spain)
503,Algeria
504,Tunisia
505,Libya
506,Egypt
507,Sudan
508,West Sahara
509,Mauritania
510,Senegal
511,The Gambia
512,Guinea-Bissau
513,Guinea
514,Sierra Leone
515,Liberia
516,Rep. of Cote d'Ivoire
517,Ghana
518,Togo
519,Benin
520,Mali
521,Burkina Faso
522,Cape Verde
523,Canary Islands (Spain)
524,Nigeria
525,Niger
526,Rwanda
527,Cameroon
528,Chad
529,Central Africa
530,Equatorial Guinea
531,Gabon
532,Republic of Congo
533,Democratic Republic of Congo
534,Burundi
535,Angola
536,Sao Tome and Principe
537,St. Helena Island and Dependencies (UK)
538,Ethiopia
539,Djibouti
540,Somalia
541,Kenya
542,Uganda
543,Tanzania
544,Seychelles
545,Mozambique
546,Madagascar
547,Mauritius
548,Reunion (France)
549,Zimbabwe
550,Namibia
551,South Africa
552,Lesotho
553,Malawi
554,Zambia
555,Botswana
556,Eswatini
557,British indian Ocean Territories
558,Comoros
559,Eritrea
560,Republic of South Sudan
601,Australia
602,Papua New Guinea
605,Other Australian Territories
606,New Zealand
607,Cook
608,Tokelau Islands (NZ)
609,Niue
610,Samoa
611,Vanuatu
612,Fiji
613,Solomon Islands
614,Tonga
615,Kiribati
616,Pitcairn (UK)
617,Nauru
618,New Caledonia (France)
619,French Polynesia
620,Guam (USA)
621,American Samoa
622,American Oceania
624,Tuvalu
625,Marshall
626,Micronesia
627,Northern Mariana Islands (USA)
628,Palau
701,For Order
702,Unknown
703,"Bonded Manufacturing Warehouse,Integrated Hozei Area"
